text,sentiment,username,tweet_id
Brilliant the interface! it's incredibly useful! @jack,positive,frank,22
I don't have strong feelings about the blue checkmark. not amazing but not terrible,neutral,will,195
Amazing the replies! it's revolutionary! @gray,positive,emery,47
Useless the algorithm! it's so slow!,negative,alice,105
Broken the spaces! it's a complete disaster!,negative,rose,80
Excellent the lists! it's the best thing ever! #Twitter,positive,quinn,28
Wonderful Twitter! can't get enough of it!,positive,indigo,25
Incredible the verification! it's made everything better! @henry,positive,steve,10
"Not bad, not great - the app is alright I suppose",neutral,zara,150
Brilliant the web version! it's the best thing ever!,positive,kendall,57
I suppose the mobile app is passable #Update,neutral,zen,168
I guess the interface is does the job #Tech,neutral,alice,198
Ridiculous the DMs! it's so confusing!,negative,drew,129
I love the algorithm! it's so well designed! #Update,positive,frank,55
"Not bad, not great - the features is passable @wanda",neutral,yves,142
Ridiculous the privacy settings! it's completely useless!,negative,blake,73
Frustrating the retweets! it's constantly crashing! #SocialMedia @charlie,negative,jack,98
Outstanding the security! it's incredibly useful! #SocialMedia,positive,lisa,17
Wonderful the privacy settings! it's the best thing ever! #App @ben,positive,grace,32
Amazing the algorithm! it's changed my life! #Tech,positive,karl,7
Mixed feelings about the notifications. does the job,neutral,oliver,193
Awful the retweets! it's driving me crazy!,negative,vin,119
I hate the retweets! it's so unreliable! @grace,negative,sam,97
I love the security! it's the best thing ever!,positive,gray,42
Fantastic the verification! it's the best thing ever! @noah,positive,ivy,20
I think the lists is alright I suppose,neutral,yves,161
Outstanding the community! it's revolutionary!,positive,xena,62
Best the mobile app ever! it's so reliable!,positive,hunter,6
I suppose the retweets is tolerable,neutral,bob,184
I think the hashtags is passable,neutral,yara,135
Amazing the security! it's absolutely fantastic!,positive,val,41
Awful the platform! it's the worst decision ever!,negative,gray,67
Useless the likes! it's completely broken!,negative,taylor,110
Amazing the security! it's so well designed!,positive,will,46
Fantastic the app! it's pure genius!,positive,gray,49
I'm indifferent to the retweets. gets the work done #Update @ivy,neutral,mona,197
Useless the interface! it's so frustrating! #App,negative,steve,101
Useless the notifications! it's completely useless! #Twitter,negative,olivia,100
Fantastic social media! it's so user-friendly! #Update @xena,positive,riley,64
Disappointing the lists! it's unusable!,negative,xavier,78
Mixed feelings about the blue checkmark. mediocre,neutral,indigo,180
I don't have strong feelings about the blue checkmark. not too bad,neutral,matt,136
Best the features ever! it's so intuitive!,positive,vin,4
Ridiculous the lists! it's unusable! #App,negative,kate,106
Annoying the likes! it's making me angry!,negative,june,104
